Customer_ID,Customer_Name,Segment,Region,Signup_Date
C0001,Customer 0001,Consumer,Delta,2023-09-16
C0002,Customer 0002,Corporate,Upper Egypt,2023-01-10
C0003,Customer 0003,Small Business,Alexandria,2023-09-18
C0004,Customer 0004,Small Business,Cairo,2023-06-21
C0005,Customer 0005,Consumer,Cairo,2023-01-13
C0006,Customer 0006,Consumer,Alexandria,2023-06-17
C0007,Customer 0007,Consumer,Cairo,2023-11-17
C0008,Customer 0008,Corporate,Delta,2023-11-15
C0009,Customer 0009,Small Business,Canal,2023-11-25
C0010,Customer 0010,Small Business,Delta,2024-02-23
C0011,Customer 0011,Consumer,Delta,2023-04-05
C0012,Customer 0012,Corporate,Alexandria,2023-11-14
C0013,Customer 0013,Small Business,Delta,2023-08-24
C0014,Customer 0014,Consumer,Delta,2023-11-30
C0015,Customer 0015,Consumer,Canal,2024-01-11
C0016,Customer 0016,Consumer,Delta,2024-04-03
C0017,Customer 0017,Consumer,Canal,2023-05-17
C0018,Customer 0018,Consumer,Canal,2024-06-30
C0019,Customer 0019,Consumer,Cairo,2024-05-27
C0020,Customer 0020,Consumer,Cairo,2023-10-23
C0021,Customer 0021,Small Business,Cairo,2023-11-16
C0022,Customer 0022,Consumer,Cairo,2023-12-15
C0023,Customer 0023,Consumer,Cairo,2023-08-17
C0024,Customer 0024,Consumer,Alexandria,2023-09-27
C0025,Customer 0025,Consumer,Cairo,2023-10-18
C0026,Customer 0026,Small Business,Delta,2023-06-14
C0027,Customer 0027,Consumer,Upper Egypt,2023-01-05
C0028,Customer 0028,Consumer,Cairo,2024-01-14
C0029,Customer 0029,Small Business,Upper Egypt,2023-03-19
C0030,Customer 0030,Consumer,Cairo,2024-02-14
C0031,Customer 0031,Small Business,Cairo,2023-05-12
C0032,Customer 0032,Consumer,Alexandria,2023-02-11
C0033,Customer 0033,Consumer,Alexandria,2023-03-30
C0034,Customer 0034,Corporate,Upper Egypt,2024-02-06
C0035,Customer 0035,Corporate,Alexandria,2023-10-23
C0036,Customer 0036,Small Business,Upper Egypt,2023-10-22
C0037,Customer 0037,Consumer,Cairo,2024-06-09
C0038,Customer 0038,Consumer,Cairo,2024-02-26
C0039,Customer 0039,Small Business,Upper Egypt,2023-01-23
C0040,Customer 0040,Consumer,Upper Egypt,2023-05-23
C0041,Customer 0041,Consumer,Canal,2023-05-25
C0042,Customer 0042,Consumer,Delta,2023-08-13
C0043,Customer 0043,Consumer,Delta,2024-05-17
C0044,Customer 0044,Corporate,Upper Egypt,2023-04-14
C0045,Customer 0045,Consumer,Delta,2023-02-08
C0046,Customer 0046,Small Business,Canal,2023-07-17
C0047,Customer 0047,Consumer,Upper Egypt,2024-01-26
C0048,Customer 0048,Consumer,Delta,2023-06-28
C0049,Customer 0049,Consumer,Upper Egypt,2024-03-23
C0050,Customer 0050,Consumer,Upper Egypt,2024-05-14
C0051,Customer 0051,Corporate,Cairo,2023-01-15
C0052,Customer 0052,Small Business,Canal,2023-10-16
C0053,Customer 0053,Corporate,Delta,2024-04-22
C0054,Customer 0054,Corporate,Upper Egypt,2023-08-19
C0055,Customer 0055,Small Business,Delta,2024-02-24
C0056,Customer 0056,Corporate,Upper Egypt,2023-06-06
C0057,Customer 0057,Consumer,Delta,2024-03-16
C0058,Customer 0058,Consumer,Cairo,2023-04-07
C0059,Customer 0059,Consumer,Canal,2024-02-15
C0060,Customer 0060,Consumer,Cairo,2023-10-16
C0061,Customer 0061,Consumer,Delta,2023-09-11
C0062,Customer 0062,Consumer,Canal,2023-07-15
C0063,Customer 0063,Small Business,Canal,2024-06-05
C0064,Customer 0064,Consumer,Delta,2024-05-31
C0065,Customer 0065,Consumer,Alexandria,2023-04-28
C0066,Customer 0066,Consumer,Delta,2023-06-08
C0067,Customer 0067,Consumer,Cairo,2023-08-16
C0068,Customer 0068,Small Business,Delta,2023-08-04
C0069,Customer 0069,Consumer,Alexandria,2023-01-15
C0070,Customer 0070,Corporate,Upper Egypt,2023-06-06
C0071,Customer 0071,Small Business,Upper Egypt,2023-09-18
C0072,Customer 0072,Consumer,Upper Egypt,2023-06-06
C0073,Customer 0073,Consumer,Cairo,2023-02-16
C0074,Customer 0074,Small Business,Delta,2023-11-20
C0075,Customer 0075,Small Business,Cairo,2023-05-10
C0076,Customer 0076,Small Business,Delta,2024-02-15
C0077,Customer 0077,Small Business,Delta,2023-04-05
C0078,Customer 0078,Consumer,Upper Egypt,2023-10-19
C0079,Customer 0079,Consumer,Delta,2023-10-10
C0080,Customer 0080,Consumer,Cairo,2023-03-10
C0081,Customer 0081,Corporate,Cairo,2023-01-11
C0082,Customer 0082,Small Business,Upper Egypt,2023-09-11
C0083,Customer 0083,Consumer,Alexandria,2023-05-14
C0084,Customer 0084,Consumer,Cairo,2023-01-23
C0085,Customer 0085,Consumer,Cairo,2023-12-12
C0086,Customer 0086,Consumer,Alexandria,2023-10-29
C0087,Customer 0087,Small Business,Cairo,2023-12-29
C0088,Customer 0088,Small Business,Upper Egypt,2024-01-31
C0089,Customer 0089,Corporate,Alexandria,2023-08-06
C0090,Customer 0090,Consumer,Cairo,2023-05-21
C0091,Customer 0091,Consumer,Cairo,2023-07-29
C0092,Customer 0092,Small Business,Canal,2024-04-04
C0093,Customer 0093,Small Business,Delta,2023-12-22
C0094,Customer 0094,Small Business,Delta,2023-11-20
C0095,Customer 0095,Small Business,Upper Egypt,2023-05-13
C0096,Customer 0096,Consumer,Canal,2023-05-07
C0097,Customer 0097,Consumer,Canal,2023-04-16
C0098,Customer 0098,Consumer,Upper Egypt,2024-01-13
C0099,Customer 0099,Consumer,Delta,2023-02-20
C0100,Customer 0100,Consumer,Cairo,2023-01-29
C0101,Customer 0101,Consumer,Upper Egypt,2024-04-06
C0102,Customer 0102,Small Business,Delta,2023-10-23
C0103,Customer 0103,Consumer,Delta,2023-10-24
C0104,Customer 0104,Consumer,Canal,2024-02-11
C0105,Customer 0105,Corporate,Cairo,2024-02-09
C0106,Customer 0106,Consumer,Delta,2023-12-12
C0107,Customer 0107,Consumer,Cairo,2024-02-24
C0108,Customer 0108,Small Business,Delta,2023-07-01
C0109,Customer 0109,Consumer,Cairo,2023-01-01
C0110,Customer 0110,Consumer,Cairo,2024-01-06
C0111,Customer 0111,Consumer,Cairo,2024-03-06
C0112,Customer 0112,Consumer,Alexandria,2023-11-05
C0113,Customer 0113,Corporate,Alexandria,2023-05-17
C0114,Customer 0114,Small Business,Delta,2023-07-21
C0115,Customer 0115,Small Business,Canal,2024-03-11
C0116,Customer 0116,Corporate,Delta,2023-11-09
C0117,Customer 0117,Small Business,Cairo,2023-04-27
C0118,Customer 0118,Consumer,Upper Egypt,2023-09-01
C0119,Customer 0119,Corporate,Cairo,2024-06-20
C0120,Customer 0120,Consumer,Canal,2023-03-16
C0121,Customer 0121,Small Business,Cairo,2024-01-21
C0122,Customer 0122,Corporate,Canal,2023-07-29
C0123,Customer 0123,Consumer,Cairo,2024-04-19
C0124,Customer 0124,Consumer,Upper Egypt,2024-02-22
C0125,Customer 0125,Consumer,Delta,2023-12-13
C0126,Customer 0126,Consumer,Canal,2024-06-12
C0127,Customer 0127,Small Business,Cairo,2023-06-28
C0128,Customer 0128,Corporate,Delta,2023-07-01
C0129,Customer 0129,Consumer,Canal,2023-01-25
C0130,Customer 0130,Consumer,Delta,2023-06-29
C0131,Customer 0131,Consumer,Alexandria,2024-05-15
C0132,Customer 0132,Consumer,Alexandria,2023-06-10
C0133,Customer 0133,Consumer,Delta,2023-06-26
C0134,Customer 0134,Consumer,Alexandria,2023-10-12
C0135,Customer 0135,Corporate,Delta,2023-03-04
C0136,Customer 0136,Consumer,Canal,2023-06-05
C0137,Customer 0137,Consumer,Cairo,2024-04-13
C0138,Customer 0138,Small Business,Cairo,2023-02-18
C0139,Customer 0139,Consumer,Canal,2023-03-25
C0140,Customer 0140,Corporate,Upper Egypt,2023-12-27
C0141,Customer 0141,Corporate,Delta,2023-05-28
C0142,Customer 0142,Consumer,Alexandria,2023-12-08
C0143,Customer 0143,Consumer,Cairo,2024-04-20
C0144,Customer 0144,Consumer,Cairo,2023-03-04
C0145,Customer 0145,Consumer,Delta,2023-12-26
C0146,Customer 0146,Consumer,Delta,2023-11-23
C0147,Customer 0147,Small Business,Delta,2023-05-21
C0148,Customer 0148,Consumer,Cairo,2023-08-03
C0149,Customer 0149,Consumer,Canal,2024-03-10
C0150,Customer 0150,Consumer,Canal,2023-11-14
C0151,Customer 0151,Corporate,Alexandria,2023-02-01
C0152,Customer 0152,Consumer,Delta,2023-10-12
C0153,Customer 0153,Consumer,Delta,2023-11-01
C0154,Customer 0154,Consumer,Upper Egypt,2024-03-04
C0155,Customer 0155,Corporate,Alexandria,2024-04-21
C0156,Customer 0156,Consumer,Cairo,2023-10-13
C0157,Customer 0157,Small Business,Canal,2023-05-24
C0158,Customer 0158,Small Business,Upper Egypt,2024-02-28
C0159,Customer 0159,Consumer,Canal,2023-01-19
C0160,Customer 0160,Small Business,Alexandria,2023-01-18
C0161,Customer 0161,Consumer,Alexandria,2024-01-06
C0162,Customer 0162,Small Business,Delta,2023-06-24
C0163,Customer 0163,Small Business,Canal,2023-07-13
C0164,Customer 0164,Consumer,Upper Egypt,2024-05-16
C0165,Customer 0165,Consumer,Cairo,2023-04-23
C0166,Customer 0166,Small Business,Cairo,2023-04-24
C0167,Customer 0167,Consumer,Delta,2023-08-10
C0168,Customer 0168,Consumer,Upper Egypt,2023-09-21
C0169,Customer 0169,Consumer,Canal,2023-02-24
C0170,Customer 0170,Small Business,Cairo,2024-04-02
C0171,Customer 0171,Small Business,Delta,2023-06-11
C0172,Customer 0172,Consumer,Delta,2024-01-15
C0173,Customer 0173,Consumer,Canal,2023-03-28
C0174,Customer 0174,Consumer,Upper Egypt,2023-02-24
C0175,Customer 0175,Small Business,Upper Egypt,2024-04-20
C0176,Customer 0176,Consumer,Delta,2023-06-27
C0177,Customer 0177,Small Business,Delta,2024-01-26
C0178,Customer 0178,Consumer,Cairo,2023-12-15
C0179,Customer 0179,Corporate,Cairo,2023-01-08
C0180,Customer 0180,Consumer,Upper Egypt,2023-11-09
C0181,Customer 0181,Consumer,Upper Egypt,2024-03-18
C0182,Customer 0182,Consumer,Canal,2023-11-24
C0183,Customer 0183,Corporate,Canal,2023-02-23
C0184,Customer 0184,Corporate,Delta,2023-08-27
C0185,Customer 0185,Consumer,Upper Egypt,2023-08-17
C0186,Customer 0186,Small Business,Canal,2023-02-20
C0187,Customer 0187,Small Business,Upper Egypt,2023-09-21
C0188,Customer 0188,Small Business,Cairo,2024-02-22
C0189,Customer 0189,Consumer,Delta,2023-04-06
C0190,Customer 0190,Consumer,Cairo,2023-03-29
C0191,Customer 0191,Consumer,Canal,2023-03-19
C0192,Customer 0192,Corporate,Alexandria,2023-10-15
C0193,Customer 0193,Corporate,Cairo,2023-04-30
C0194,Customer 0194,Small Business,Alexandria,2024-05-05
C0195,Customer 0195,Consumer,Alexandria,2024-03-27
C0196,Customer 0196,Consumer,Delta,2024-05-14
C0197,Customer 0197,Small Business,Cairo,2023-06-14
C0198,Customer 0198,Corporate,Alexandria,2023-07-01
C0199,Customer 0199,Corporate,Delta,2024-04-13
C0200,Customer 0200,Small Business,Upper Egypt,2023-01-07
C0201,Customer 0201,Small Business,Delta,2023-11-26
C0202,Customer 0202,Consumer,Upper Egypt,2023-05-31
C0203,Customer 0203,Consumer,Delta,2023-03-26
C0204,Customer 0204,Corporate,Delta,2023-05-27
C0205,Customer 0205,Small Business,Upper Egypt,2024-01-16
C0206,Customer 0206,Consumer,Delta,2023-10-12
C0207,Customer 0207,Consumer,Cairo,2023-03-23
C0208,Customer 0208,Small Business,Cairo,2024-05-28
C0209,Customer 0209,Consumer,Upper Egypt,2024-06-06
C0210,Customer 0210,Consumer,Alexandria,2024-01-21
C0211,Customer 0211,Consumer,Alexandria,2024-04-15
C0212,Customer 0212,Small Business,Cairo,2023-04-29
C0213,Customer 0213,Small Business,Cairo,2024-01-31
C0214,Customer 0214,Consumer,Cairo,2024-06-15
C0215,Customer 0215,Small Business,Delta,2023-09-18
C0216,Customer 0216,Consumer,Delta,2023-09-13
C0217,Customer 0217,Consumer,Delta,2023-08-14
C0218,Customer 0218,Small Business,Delta,2023-02-22
C0219,Customer 0219,Small Business,Canal,2024-05-14
C0220,Customer 0220,Small Business,Delta,2024-05-20
C0221,Customer 0221,Small Business,Delta,2023-12-30
C0222,Customer 0222,Small Business,Upper Egypt,2023-10-07
C0223,Customer 0223,Consumer,Delta,2023-06-07
C0224,Customer 0224,Consumer,Alexandria,2023-02-28
C0225,Customer 0225,Consumer,Upper Egypt,2023-05-08
C0226,Customer 0226,Consumer,Canal,2023-04-25
C0227,Customer 0227,Corporate,Cairo,2023-07-28
C0228,Customer 0228,Consumer,Canal,2024-06-09
C0229,Customer 0229,Corporate,Delta,2024-06-04
C0230,Customer 0230,Small Business,Cairo,2023-08-25
C0231,Customer 0231,Small Business,Delta,2023-10-08
C0232,Customer 0232,Consumer,Canal,2023-12-25
C0233,Customer 0233,Small Business,Delta,2023-07-20
C0234,Customer 0234,Consumer,Delta,2023-10-05
C0235,Customer 0235,Consumer,Alexandria,2023-08-23
C0236,Customer 0236,Small Business,Cairo,2024-05-08
C0237,Customer 0237,Consumer,Cairo,2023-01-04
C0238,Customer 0238,Consumer,Cairo,2024-03-17
C0239,Customer 0239,Small Business,Cairo,2023-01-29
C0240,Customer 0240,Consumer,Cairo,2023-04-19
C0241,Customer 0241,Corporate,Cairo,2023-03-16
C0242,Customer 0242,Corporate,Alexandria,2023-05-26
C0243,Customer 0243,Corporate,Cairo,2023-05-08
C0244,Customer 0244,Consumer,Delta,2023-02-11
C0245,Customer 0245,Consumer,Upper Egypt,2023-12-22
C0246,Customer 0246,Corporate,Delta,2023-02-10
C0247,Customer 0247,Consumer,Alexandria,2023-02-03
C0248,Customer 0248,Corporate,Cairo,2023-01-17
C0249,Customer 0249,Corporate,Cairo,2023-06-02
C0250,Customer 0250,Corporate,Cairo,2024-01-13
C0251,Customer 0251,Consumer,Cairo,2023-12-08
C0252,Customer 0252,Consumer,Cairo,2023-01-27
C0253,Customer 0253,Corporate,Cairo,2023-10-14
C0254,Customer 0254,Consumer,Cairo,2023-06-17
C0255,Customer 0255,Consumer,Cairo,2023-09-25
C0256,Customer 0256,Small Business,Delta,2024-03-30
C0257,Customer 0257,Corporate,Cairo,2024-02-05
C0258,Customer 0258,Small Business,Delta,2024-04-20
C0259,Customer 0259,Small Business,Delta,2023-05-10
C0260,Customer 0260,Consumer,Alexandria,2023-12-29
C0261,Customer 0261,Small Business,Cairo,2023-10-19
C0262,Customer 0262,Corporate,Upper Egypt,2024-01-06
C0263,Customer 0263,Consumer,Alexandria,2023-01-29
C0264,Customer 0264,Consumer,Cairo,2023-05-29
C0265,Customer 0265,Corporate,Upper Egypt,2023-10-23
C0266,Customer 0266,Small Business,Canal,2023-01-11
C0267,Customer 0267,Small Business,Cairo,2024-05-26
C0268,Customer 0268,Small Business,Cairo,2023-04-23
C0269,Customer 0269,Consumer,Upper Egypt,2023-07-06
C0270,Customer 0270,Consumer,Alexandria,2023-08-15
C0271,Customer 0271,Small Business,Cairo,2023-11-06
C0272,Customer 0272,Small Business,Cairo,2023-04-08
C0273,Customer 0273,Corporate,Delta,2023-02-24
C0274,Customer 0274,Corporate,Delta,2024-02-10
C0275,Customer 0275,Consumer,Alexandria,2023-03-10
C0276,Customer 0276,Consumer,Delta,2023-11-08
C0277,Customer 0277,Small Business,Delta,2023-10-16
C0278,Customer 0278,Small Business,Alexandria,2023-05-28
C0279,Customer 0279,Small Business,Cairo,2024-04-11
C0280,Customer 0280,Small Business,Cairo,2023-09-01
C0281,Customer 0281,Corporate,Alexandria,2024-05-05
C0282,Customer 0282,Consumer,Upper Egypt,2024-05-21
C0283,Customer 0283,Consumer,Delta,2023-12-31
C0284,Customer 0284,Consumer,Delta,2024-04-26
C0285,Customer 0285,Small Business,Cairo,2023-07-20
C0286,Customer 0286,Consumer,Delta,2023-06-03
C0287,Customer 0287,Consumer,Delta,2024-03-25
C0288,Customer 0288,Consumer,Cairo,2024-05-15
C0289,Customer 0289,Consumer,Cairo,2023-03-14
C0290,Customer 0290,Small Business,Delta,2023-10-23
C0291,Customer 0291,Consumer,Cairo,2023-01-17
C0292,Customer 0292,Consumer,Delta,2023-08-05
C0293,Customer 0293,Small Business,Cairo,2023-03-02
C0294,Customer 0294,Consumer,Delta,2023-02-11
C0295,Customer 0295,Consumer,Cairo,2023-01-25
C0296,Customer 0296,Consumer,Upper Egypt,2023-02-08
C0297,Customer 0297,Small Business,Delta,2023-05-11
C0298,Customer 0298,Consumer,Alexandria,2024-05-12
C0299,Customer 0299,Small Business,Upper Egypt,2023-08-17
C0300,Customer 0300,Consumer,Delta,2023-04-18
C0301,Customer 0301,Consumer,Cairo,2023-06-21
C0302,Customer 0302,Consumer,Delta,2024-03-10
C0303,Customer 0303,Consumer,Delta,2024-04-22
C0304,Customer 0304,Small Business,Alexandria,2023-04-12
C0305,Customer 0305,Small Business,Delta,2024-06-07
C0306,Customer 0306,Corporate,Cairo,2023-10-02
C0307,Customer 0307,Consumer,Cairo,2023-02-13
C0308,Customer 0308,Consumer,Delta,2023-01-17
C0309,Customer 0309,Small Business,Alexandria,2023-11-26
C0310,Customer 0310,Consumer,Delta,2024-05-11
C0311,Customer 0311,Consumer,Delta,2023-01-12
C0312,Customer 0312,Consumer,Canal,2023-11-14
C0313,Customer 0313,Consumer,Alexandria,2023-08-04
C0314,Customer 0314,Corporate,Cairo,2023-12-05
C0315,Customer 0315,Small Business,Cairo,2023-03-22
C0316,Customer 0316,Small Business,Cairo,2024-04-29
C0317,Customer 0317,Consumer,Cairo,2024-01-09
C0318,Customer 0318,Consumer,Cairo,2023-07-19
C0319,Customer 0319,Consumer,Cairo,2024-06-20
C0320,Customer 0320,Consumer,Cairo,2024-04-10
C0321,Customer 0321,Consumer,Cairo,2023-03-30
C0322,Customer 0322,Small Business,Upper Egypt,2023-09-25
C0323,Customer 0323,Small Business,Cairo,2024-05-03
C0324,Customer 0324,Consumer,Delta,2024-06-21
C0325,Customer 0325,Corporate,Delta,2023-02-16
C0326,Customer 0326,Small Business,Canal,2023-10-15
C0327,Customer 0327,Small Business,Cairo,2023-01-16
C0328,Customer 0328,Small Business,Delta,2024-02-05
C0329,Customer 0329,Consumer,Canal,2023-03-27
C0330,Customer 0330,Consumer,Upper Egypt,2023-09-07
C0331,Customer 0331,Consumer,Upper Egypt,2024-01-26
