Order_ID,Order_Date,Customer_ID,Product_ID,Sales_Rep_ID,Quantity,Discount_Pct,Unit_Selling_Price
10004,2024-09-03,C0269,P013,SR02,3,0.05,42.75
10016,2024-09-18,C0005,P005,SR06,4,0.1,49.5
10046,2024-09-18,C0147,P005,SR03,1,0.05,52.25
10058,2024-09-23,C0214,P019,SR08,1,0.2,100.0
10078,2024-09-24,C0131,P013,SR02,2,0.05,42.75
10085,2024-09-26,C0080,P010,SR10,2,0.05,213.75
10105,2024-09-25,C0073,P013,SR09,1,0.05,42.75
10112,2024-09-21,C0003,P008,SR02,1,0.0,85.0
10124,2024-09-19,C0310,P001,SR08,1,0.05,14.25
10150,2024-09-05,C0331,P003,SR04,1,0.15,29.75
10157,2024-09-12,C0266,P002,SR09,1,0.1,58.5
10166,2024-09-08,C0097,P004,SR04,4,0.0,45.0
10167,2024-09-29,C0101,P007,SR04,1,0.05,28.5
10176,2024-09-08,C0082,P008,SR03,1,0.15,72.25
10194,2024-09-27,C0273,P008,SR02,1,0.05,80.75
10219,2024-09-10,C0024,P002,SR02,1,0.15,55.25
10233,2024-09-16,C0126,P007,SR07,1,0.0,30.0
10258,2024-09-10,C0044,P001,SR10,1,0.1,13.5
10259,2024-09-18,C0167,P020,SR07,2,0.05,52.25
10279,2024-09-28,C0066,P003,SR08,1,0.15,29.75
10288,2024-09-26,C0154,P006,SR07,1,0.0,50.0
10297,2024-09-24,C0035,P011,SR02,1,0.05,104.5
10308,2024-09-18,C0218,P008,SR03,1,0.05,80.75
10314,2024-09-21,C0344,P005,SR01,1,0.0,55.0
10327,2024-09-22,C0210,P019,SR06,1,0.1,112.5
10353,2024-09-29,C0099,P018,SR08,1,0.05,342.0
10370,2024-09-20,C0282,P017,SR08,1,0.05,270.75
10375,2024-09-16,C0075,P003,SR08,1,0.05,33.25
10404,2024-09-20,C0263,P004,SR02,2,0.15,38.25
10409,2024-09-14,C0337,P004,SR10,1,0.1,40.5
10437,2024-09-16,C0108,P019,SR02,2,0.0,125.0
10444,2024-09-08,C0322,P008,SR06,1,0.15,72.25
10446,2024-09-04,C0247,P002,SR03,1,0.0,65.0
10460,2024-09-27,C0195,P015,SR08,2,0.15,11.9
10479,2024-09-01,C0003,P017,SR01,2,0.1,256.5
10481,2024-09-27,C0100,P004,SR02,1,0.1,40.5
10501,2024-09-22,C0098,P003,SR02,1,0.05,33.25
10508,2024-09-22,C0309,P015,SR06,3,0.0,14.0
10509,2024-09-04,C0278,P004,SR02,1,0.15,38.25
10543,2024-09-03,C0104,P002,SR05,2,0.1,58.5
10547,2024-09-02,C0127,P019,SR06,1,0.0,125.0
10559,2024-09-27,C0139,P014,SR09,2,0.2,8.0
10572,2024-09-23,C0054,P016,SR08,1,0.05,156.75
10578,2024-09-25,C0278,P010,SR07,2,0.15,191.25
10581,2024-09-13,C0165,P006,SR05,3,0.15,42.5
10622,2024-09-03,C0223,P010,SR09,2,0.05,213.75
10636,2024-09-12,C0187,P012,SR01,2,0.05,30.4
10641,2024-09-29,C0058,P008,SR02,3,0.05,80.75
10654,2024-09-29,C0221,P008,SR07,3,0.0,85.0
10658,2024-09-29,C0006,P019,SR08,1,0.05,118.75
10687,2024-09-29,C0017,P013,SR01,2,0.1,40.5
10693,2024-09-05,C0014,P014,SR07,1,0.05,9.5
10701,2024-09-20,C0071,P012,SR03,1,0.0,32.0
10711,2024-09-03,C0267,P013,SR10,1,0.1,40.5
10713,2024-09-07,C0233,P009,SR07,1,0.15,123.25
10728,2024-09-26,C0071,P013,SR04,1,0.15,38.25
10743,2024-09-29,C0144,P016,SR07,3,0.0,165.0
10769,2024-09-12,C0206,P015,SR01,1,0.05,13.3
10788,2024-09-19,C0267,P007,SR04,1,0.05,28.5
10811,2024-09-10,C0030,P010,SR01,1,0.05,213.75
10836,2024-09-25,C0197,P020,SR06,1,0.15,46.75
10867,2024-09-28,C0143,P003,SR09,3,0.05,33.25
10868,2024-09-03,C0261,P020,SR02,3,0.1,49.5
10898,2024-09-09,C0317,P017,SR08,1,0.1,256.5
10901,2024-09-20,C0079,P003,SR09,1,0.05,33.25
10913,2024-09-07,C0097,P018,SR07,3,0.0,360.0
10921,2024-09-19,C0296,P006,SR06,2,0.0,50.0
10964,2024-09-29,C0076,P017,SR08,1,0.0,285.0
10972,2024-09-09,C0002,P014,SR01,3,0.05,9.5
10999,2024-09-22,C0120,P008,SR05,1,0.15,72.25
11005,2024-09-14,C0018,P015,SR01,1,0.2,11.2
11016,2024-09-14,C0127,P005,SR07,3,0.1,49.5
11037,2024-09-11,C0207,P010,SR04,1,0.15,191.25
11039,2024-09-07,C0347,P003,SR10,2,0.15,29.75
11058,2024-09-22,C0095,P006,SR09,3,0.1,45.0
11068,2024-09-14,C0063,P004,SR03,2,0.15,38.25
11069,2024-09-02,C0251,P007,SR01,3,0.05,28.5
11179,2024-09-11,C0020,P016,SR09,2,0.05,156.75
11184,2024-09-09,C0286,P009,SR10,1,0.15,123.25
11195,2024-09-17,C0331,P015,SR08,2,0.2,11.2
11210,2024-09-25,C0226,P019,SR10,1,0.05,118.75
11212,2024-09-03,C0192,P017,SR03,1,0.15,242.25
11225,2024-09-04,C0302,P005,SR09,3,0.05,52.25
11234,2024-09-17,C0278,P007,SR09,2,0.2,24.0
11255,2024-09-15,C0103,P001,SR07,1,0.0,15.0
11259,2024-09-12,C0024,P013,SR06,2,0.2,36.0
11292,2024-09-19,C0189,P007,SR02,1,0.05,28.5
11299,2024-09-14,C0204,P006,SR08,3,0.0,50.0
11302,2024-09-02,C0111,P006,SR08,2,0.1,45.0
11377,2024-09-16,C0164,P006,SR04,1,0.0,50.0
11391,2024-09-23,C0268,P010,SR02,2,0.15,191.25
11394,2024-09-22,C0188,P002,SR06,1,0.15,55.25
